typ;rubrik;titel;klasse
Aufgabe;Edging;Wichse bis kurz vorm Kommen, dann stoppen;soft
Aufgabe;Edging;Edging 10 Minuten (Timer);pflicht
Aufgabe;Ritual;Trage heute einen Cockring (Dauer frei);soft
Aufgabe;Blitz;Mache ein Foto als Beleg (privat);pflicht
Aufgabe;Anal;Plug tragen;pflicht
Aufgabe;Anal;Fickmaschine nutzen;pflicht
Aufgabe;Anal;von mir gefickt werden;pflicht
Aufgabe;Anal;Tunnelplug einsetzen;pflicht
Aufgabe;Anal;Fisttraining mit Herrin;pflicht
Aufgabe;Anal;Dildo 5cm;pflicht
Aufgabe;Anal;Dildo 6Cm;pflicht
Aufgabe;Anal;Dildo 7cm;pflicht
Aufgabe;Anal;Dildo 8cm;pflicht
Aufgabe;Anal;Analkugeln tragen;pflicht
Aufgabe;Anal;Prostata Massage bekommen;pflicht
Aufgabe;Dirty;Morgenkaffee mit NS trinken;pflicht
Aufgabe;Dirty;Windel nutzen;pflicht
Aufgabe;Dirty;Nach Toilettengang nicht säubern;pflicht
Aufgabe;Dirty;bei jedem pissen NS abfüllen und trinken;pflicht
Aufgabe;Dirty;in die Hose machen;pflicht
Aufgabe;Dirty;den ganzen Tag Ente nutzen;pflicht
Aufgabe;Dirty;Urin-Gesichtsmaske machen;pflicht
Aufgabe;Dirty;Urin Haarkur (trocknen und drin lassen);pflicht
Aufgabe;Dirty;Einlauf machen;pflicht
Aufgabe;Dirty;gründliche Analspülung machen;pflicht
Aufgabe;Dirty;Darmpülung machen (tief);pflicht
Aufgabe;Dirty;nur mit Errektion pissen;pflicht
Aufgabe;Dirty;nur Hock WC nutzen, keine zusätzliche Reinigung im Dusch WC;pflicht
Aufgabe;Dirty;Toilette Outdoor hockend;pflicht
Aufgabe;Dirty;Toilette Outdoor stehend;pflicht
Aufgabe;Dirty;Toilette outddor nackt, freihändig, keine Reinigung;pflicht
Aufgabe;Dirty;piss dich selbst an (liegend, Dusche, WC o.ä.);pflicht
Aufgabe;Dirty;Ass2Mouth Nutze einen Dildo, der tiefer in dich eindringt und wechsel zwischen Arsch und Mund;pflicht
Aufgabe;Dirty;KV Training ;pflicht
Aufgabe;Dirty;NS in Glas sammeln und als „Tee“ trinken (150–250 ml);pflicht
Aufgabe;Dirty;NS in Strümpfe gießen und 2–3 Stunden tragen (dann ausziehen und trocknen lassen, abends wieder anziehen);pflicht
Aufgabe;Dirty;NS in Bart-/Kinnhaar reiben und 1 Stunde einwirken lassen;pflicht
Aufgabe;Dirty;"Trage ""x"" Min/Std. einen Plug und stecke ihn anschließend ""X"" Min in den Mund";pflicht
Aufgabe;Erregung;Bei jeder Erinnerung wichsen bis zur Erregung;pflicht
Aufgabe;Erregung;Abend-Ritual im Bett: Edge ohne Kommen;pflicht
Aufgabe;Erregung;"Nimm ein Dilator und wichse ""X"" mal bis kurz vorm kommen und brich dann ab. Dilator rausziehen und ablecken!";pflicht
Aufgabe;Humiliation;Finalgon in deine H nde und damit wichsen;pflicht
Aufgabe;Humiliation;Gummipuppe nutzen;pflicht
Aufgabe;Humiliation;im freien wichsen;pflicht
Aufgabe;Humiliation;aus einem Napf essen;pflicht
Aufgabe;Humiliation;Tunnel Plug + String unter Alltagsklamotten bei Einkauf;pflicht
Aufgabe;Outdoor;heute nur draussen pissen;pflicht
Aufgabe;Outdoor;Outdoor wichsen;pflicht
Aufgabe;Outdoor;Plug tragen + kurzer Spaziergang;pflicht
Aufgabe;Restriktion;Knebel tragen;pflicht
Aufgabe;Restriktion;App Spielzeug nutzen;pflicht
Aufgabe;Restriktion;Knebel 30 Min tragen w hrend Edge-Session (Sabbern erlaubt/gew nscht);pflicht
Aufgabe;SM;10 Schl ge (nach Wahl);pflicht
Aufgabe;SM;Post Cum Torture (durch Herrin oder Mitspieler);pflicht
Aufgabe;SM;Gagging Traininig (Dildo in den Hals bis Grenze);pflicht
Aufgabe;SM;Nippelklemmen Tragen;pflicht
Aufgabe;SM;Humbler tragen;pflicht
Aufgabe;SM;Ball Crusher tragen;pflicht
Aufgabe;Sperma;in die Hand wichsen und ablecken;pflicht
Aufgabe;Sperma;Sperma Maske - im Gesicht vereiben und trocknen lassen;pflicht
Aufgabe;Sperma;sperma Handcreme - verreiben und trocken lassen;pflicht
Aufgabe;Sperma;Sperma Cocktail;pflicht
Aufgabe;Sperma;Sperma Essen;pflicht
Aufgabe;Sperma;in Hose wichsen und anlassen;pflicht
Aufgabe;Sperma;auf K rper wichsen und trocknen lassen (Bauch, Beine);pflicht
Aufgabe;Sperma;auf eigene Kleidung wichsen und tragen;pflicht
Aufgabe;Sperma;auf Kopfkissen wichsen, nicht umdrehen, drauf schlafen;pflicht
Aufgabe;Sperma;im Kondom kommen und austrinken;pflicht
Aufgabe;Sperma;"Sperma auf Lippen auftragen und ""X"" Min einwirken lassen (als Lipgloss)";pflicht
Aufgabe;Sperma;Sperma in Socken/Str mpfe reiben und den ganzen Tag tragen;pflicht
Aufgabe;Sperma;Sperma-Maske: Saft auf Gesicht schmieren, 20 Min trocknen lassen, dann abwaschen;pflicht
Aufgabe;Sperma;Haargel: Wichse in deine Hände und nutze Sperma als Pomade;pflicht
